utc;latitude;longitude;red;green;blue;white;infra-red
;;;06E;079;023;0A4;003
070916;5546.2587N;00200.1146W;1B8;1E7;08C;291;023
070927;5546.2587N;00200.1154W;450;4C7;162;673;083
070938;5546.2590N;00200.1170W;44C;4C3;160;66C;06B
070949;5546.2592N;00200.1180W;44A;4C1;15F;667;074
071000;5546.2592N;00200.1186W;44D;4C2;161;66B;084
071011;5546.2593N;00200.1191W;44B;4C1;160;668;084
071022;5546.2593N;00200.1195W;446;4BC;15E;662;081
071033;5546.2594N;00200.1199W;444;4B9;15D;65F;081
071044;5546.2593N;00200.1202W;447;4BC;15E;662;06D
071055;5546.2592N;00200.1206W;445;4BB;15E;661;072
071106;5546.2586N;00200.1232W;446;4BC;15E;664;068
071118;5546.2586N;00200.1232W;449;4BF;15F;666;087
071129;5546.2587N;00200.1233W;6F4;93A;27A;AFB;15B
071140;5546.2587N;00200.1240W;552;6E7;1E3;863;081
071151;5546.2587N;00200.1240W;52E;69D;1D4;820;079
071202;5546.2587N;00200.1240W;531;6A1;1D5;825;085
071213;5546.2587N;00200.1239W;532;6A8;1D7;82D;083
071224;5546.2587N;00200.1239W;532;6AF;1D8;832;06D
071235;5546.2587N;00200.1239W;534;6B0;1D9;834;082
071246;5546.2587N;00200.1239W;533;6B1;1D8;833;06E
071257;5546.2587N;00200.1238W;533;6B2;1D9;835;079
071308;5546.2587N;00200.1238W;533;6B2;1D9;834;084
071319;5546.2588N;00200.1237W;532;6B1;1D9;832;085
071330;5546.2589N;00200.1236W;550;6FB;1E5;872;079
071341;5546.2592N;00200.1226W;584;77C;1FC;8E0;07D
071352;5546.2593N;00200.1224W;586;780;1FD;8E4;093
071403;5546.2594N;00200.1221W;584;77B;1FC;8E1;05B
071414;5546.2595N;00200.1221W;583;77B;1FC;8DF;07A
071425;5546.2597N;00200.1216W;586;77E;1FC;8E4;088
071436;5546.2597N;00200.1215W;587;77E;1FD;8E6;067
071447;5546.2597N;00200.1215W;587;77D;1FC;8E5;07D
071458;5546.2593N;00200.1215W;581;779;1FB;8DD;092
071509;5546.2593N;00200.1214W;588;77E;1FD;8E6;093
071520;5546.2593N;00200.1214W;584;77C;1FD;8E2;095
071531;5546.2593N;00200.1214W;581;779;1FB;8DF;093
071542;5546.2593N;00200.1214W;584;77A;1FC;8E2;07C
071553;5546.2593N;00200.1214W;587;77F;1FD;8E7;08B
071604;5546.2598N;00200.1212W;581;779;1FC;8E0;095
071615;5546.2598N;00200.1212W;580;775;1FA;8DB;0A0
071626;5546.2598N;00200.1211W;583;77A;1FC;8E1;08A
071637;5546.2598N;00200.1211W;582;77B;1FB;8DE;074
071648;5546.2598N;00200.1211W;57F;776;1FB;8DD;075
071659;5546.2606N;00200.1207W;583;77C;1FC;8DF;07F
071710;5546.2607N;00200.1207W;585;77C;1FC;8E1;094
071721;5546.2606N;00200.1202W;583;779;1FC;8E1;089
071732;5546.2606N;00200.1202W;585;77A;1FC;8E2;07E
071743;5546.2606N;00200.1202W;588;780;1FD;8E5;072
071755;5546.2606N;00200.1202W;587;77D;1FD;8E5;073
071806;5546.2606N;00200.1202W;586;77B;1FD;8E3;08A
071817;5546.2606N;00200.1202W;587;77F;1FD;8E6;07F
071828;5546.2606N;00200.1202W;583;77A;1FC;8E0;080
071839;5546.2606N;00200.1203W;583;779;1FC;8E0;08B
071850;5546.2606N;00200.1203W;584;77B;1FC;8E3;074
071901;5546.2606N;00200.1203W;57D;772;1FA;8DB;08E
071912;5546.2605N;00200.1204W;582;778;1FB;8DB;08B
071923;5546.2605N;00200.1204W;57E;774;1FA;8D8;07F
071934;5546.2605N;00200.1204W;582;775;1FA;8DB;074
071945;5546.2605N;00200.1204W;581;778;1FB;8E1;08C
071956;5546.2605N;00200.1204W;57F;775;1FA;8DC;099
072007;5546.2605N;00200.1204W;584;77A;1FC;8E0;075
072018;5546.2603N;00200.1207W;57F;775;1FA;8DA;08E
072029;5546.2601N;00200.1214W;5A1;7CD;204;918;086
072040;5546.2601N;00200.1213W;5B0;7F3;208;938;080
072051;5546.2602N;00200.1213W;5B0;7F4;206;939;090
072102;5546.2602N;00200.1211W;5B7;7F7;204;946;0A2
072113;5546.2602N;00200.1211W;5AC;7EF;202;93A;0B3
072124;5546.2602N;00200.1211W;5AC;7EF;201;938;0A5
072135;5546.2602N;00200.1211W;5AE;7F3;203;93E;09E
072146;5546.2602N;00200.1211W;5AF;7F2;202;93C;09A
072157;5546.2602N;00200.1211W;5B6;7FB;205;94A;0A9
072208;5546.2602N;00200.1211W;5B5;7F8;204;945;097
072219;5546.2601N;00200.1212W;5B4;7F8;204;943;0A5
072230;5546.2601N;00200.1212W;5BD;800;206;94B;0A2
072241;5546.2601N;00200.1212W;5B4;7F7;204;945;098
072252;5546.2601N;00200.1212W;5B6;7FE;205;94B;095
072303;5546.2601N;00200.1212W;5B2;7F4;203;945;0AC
072314;5546.2601N;00200.1212W;5B4;7FA;205;948;0B0
072325;5546.2601N;00200.1212W;5B2;7FB;206;949;0A6
072336;5546.2601N;00200.1212W;5B6;7FC;206;948;0B4
072347;5546.2601N;00200.1212W;5BC;803;20B;967;0B4
072358;5546.2601N;00200.1212W;5C0;806;20D;96C;0B0
072409;5546.2601N;00200.1213W;5BE;802;20C;966;0BC
072420;5546.2601N;00200.1213W;5C1;809;20D;96C;0BB
072432;5546.2601N;00200.1213W;5BD;802;20B;967;0C4
072443;5546.2601N;00200.1214W;5B9;800;20B;965;0C7
072454;5546.2601N;00200.1214W;5C1;808;20D;96C;0BF
072505;5546.2601N;00200.1214W;5BD;805;20C;968;0BF
072516;5546.2601N;00200.1214W;5C0;806;20C;96C;0C4
072527;5546.2601N;00200.1214W;5BC;804;20C;967;0B3
072538;5546.2601N;00200.1214W;5C0;807;20C;969;0BA
072549;5546.2602N;00200.1214W;5BC;802;20B;964;0BA
072600;5546.2602N;00200.1215W;5C0;809;20D;96C;0B3
072611;5546.2602N;00200.1216W;5BB;800;20B;963;0B6
072622;5546.2602N;00200.1216W;5BB;802;20C;968;0BF
072633;5546.2602N;00200.1216W;5B5;7FF;207;950;0B7
072644;5546.2602N;00200.1216W;5A7;7EE;200;931;0B2
072655;5546.2602N;00200.1217W;5AE;7F6;203;93C;0A1
072706;5546.2602N;00200.1217W;5AB;7F3;202;93A;08B
072717;5546.2602N;00200.1217W;5AC;7F2;203;93C;0A1
072728;5546.2602N;00200.1217W;5B3;7FB;205;945;0A5
072739;5546.2602N;00200.1217W;5B0;7F7;203;93F;0A3
072750;5546.2602N;00200.1217W;5B3;7FD;206;946;0B6
072801;5546.2602N;00200.1217W;5B0;7F9;205;944;098
072812;5546.2602N;00200.1217W;5B6;7FE;206;94A;096
072823;5546.2602N;00200.1217W;5B0;7F7;204;942;0A4
072834;5546.2602N;00200.1217W;5B5;7FD;206;947;09B
072845;5546.2604N;00200.1216W;5AE;7F6;203;941;09F
072856;5546.2604N;00200.1216W;5B3;7FB;205;948;09D
072907;5546.2604N;00200.1217W;5B3;7FA;205;944;0AE
072918;5546.2604N;00200.1217W;54F;709;1D2;880;0B3
072929;5546.2604N;00200.1217W;52E;6C3;1C3;844;0B9
072940;5546.2604N;00200.1218W;531;6C5;1C3;849;0B1
072951;5546.2604N;00200.1218W;52A;6BF;1C1;840;0BD
073002;5546.2604N;00200.1218W;52B;6C1;1C2;843;0BB
073013;5546.2604N;00200.1218W;527;6B9;1C0;83B;0B3
073024;5546.2604N;00200.1218W;52A;6BF;1C1;83F;0B9
073035;5546.2604N;00200.1218W;527;6BA;1C0;83C;0C6
073046;5546.2604N;00200.1218W;528;6BC;1C0;83E;0C9
073057;5546.2605N;00200.1225W;52E;6C1;1C2;844;0C5
073109;5546.2605N;00200.1225W;52A;6BB;1C1;840;0C6
073120;5546.2605N;00200.1225W;52F;6C4;1C3;848;0BB
073131;5546.2605N;00200.1226W;52D;6BF;1C2;843;0B4
073142;5546.2605N;00200.1226W;52F;6C1;1C2;848;0B9
073153;5546.2605N;00200.1226W;532;6C5;1C3;848;0C2
073204;5546.2605N;00200.1226W;529;6BA;1C0;83F;0C4
073215;5546.2605N;00200.1226W;52C;6C2;1C2;845;0C5
073226;5546.2605N;00200.1226W;528;6B9;1C0;83B;0B1
073237;5546.2605N;00200.1225W;527;6BA;1BF;83A;0B3
073248;5546.2605N;00200.1225W;52A;6BD;1C1;83D;0BF
073259;5546.2604N;00200.1225W;529;6BB;1C0;83C;0B2
073310;5546.2604N;00200.1225W;520;6B3;1BE;833;0B4
073321;5546.2604N;00200.1225W;523;6B7;1BF;836;0BB
073332;5546.2604N;00200.1225W;527;6BB;1C0;83A;0BE
073343;5546.2604N;00200.1225W;522;6B6;1BF;838;0BB
073354;5546.2604N;00200.1225W;520;6B4;1BF;836;0BA
073405;5546.2604N;00200.1225W;530;6C0;1C3;844;0AA
073416;5546.2604N;00200.1225W;530;6BF;1C1;840;0BC
073427;5546.2605N;00200.1225W;52A;6BA;1C1;83B;0B6
